open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol,ignore
2017-08-14 00:00:00,4261.48000000,4485.39000000,3850.00000000,4086.29000000,2843.43142600,2017-08-20 23:59:59,12021576.48265154,13134,2240.24924000,9482742.92094674,0
2017-08-21 00:00:00,4069.13000000,4453.91000000,3400.00000000,4310.01000000,4599.39662900,2017-08-27 23:59:59,18978983.50987317,37826,1755.53026500,7173180.19744751,0
2017-08-28 00:00:00,4310.01000000,4939.19000000,4124.54000000,4509.08000000,4753.84337600,2017-09-03 23:59:59,21581679.92866748,35717,1371.03442800,6237542.20612072,0
2017-09-04 00:00:00,4505.00000000,4788.59000000,3603.00000000,4130.37000000,6382.78774500,2017-09-10 23:59:59,27307824.36893929,42372,2821.42273900,12120979.77068529,0
2017-09-11 00:00:00,4153.62000000,4394.59000000,2817.00000000,3699.99000000,8106.70512700,2017-09-17 23:59:59,30026796.42861788,50423,3763.12845200,13956149.18844029,0
2017-09-18 00:00:00,3690.00000000,4123.20000000,3505.55000000,3660.02000000,5908.32335000,2017-09-24 23:59:59,22501242.65454204,56785,2821.43888700,10711864.12380805,0
2017-09-25 00:00:00,3660.02000000,4406.52000000,3653.69000000,4378.48000000,5782.30542400,2017-10-01 23:59:59,23750419.76839855,71484,2482.36136700,10200163.49185349,0
2017-10-02 00:00:00,4400.00000000,4658.00000000,4110.00000000,4640.00000000,4708.27295600,2017-10-08 23:59:59,20366578.25125568,59658,2077.80349000,9008752.49455302,0
2017-10-09 00:00:00,4640.00000000,5922.30000000,4550.00000000,5709.99000000,7913.92583700,2017-10-15 23:59:59,42038755.95644524,61638,4280.12726900,22483871.99105491,0
2017-10-16 00:00:00,5710.00000000,6171.00000000,5037.95000000,5950.02000000,12157.76944700,2017-10-22 23:59:59,69446644.86619962,75969,5501.91240000,31411073.98003196,0
2017-10-23 00:00:00,5975.00000000,6189.88000000,5286.98000000,6169.98000000,13133.99457000,2017-10-29 23:59:59,75229774.73890872,74778,5845.14325200,33499318.44481458,0
2017-10-30 00:00:00,6133.01000000,7590.25000000,6030.00000000,7345.01000000,11663.20964800,2017-11-05 23:59:59,79517426.53915779,98387,5037.95081100,34445720.64501364,0
2017-11-06 00:00:00,7345.10000000,7770.02000000,5325.01000000,5811.03000000,18916.31990000,2017-11-12 23:59:59,126612916.75463176,132654,8296.83946000,55517892.65634026,0
2017-11-13 00:00:00,5839.94000000,8123.15000000,5699.99000000,8038.00000000,19791.10101100,2017-11-19 23:59:59,146293856.48316984,107207,9966.29773500,73714925.58366316,0
2017-11-20 00:00:00,8057.11000000,9350.00000000,7801.00000000,9128.02000000,28921.85979200,2017-11-26 23:59:59,240238717.93883664,129930,14522.91338900,120677884.10182005,0
2017-11-27 00:00:00,9128.00000000,11825.00000000,8520.00000000,11165.41000000,48427.94965000,2017-12-03 23:59:59,493261876.52474081,232180,27122.18773100,276199673.05560422,0
2017-12-04 00:00:00,11165.41000000,17204.99000000,10802.00000000,14899.98000000,72469.97762700,2017-12-10 23:59:59,1022228203.79649083,393420,42089.10953200,596373967.67022420,0
2017-12-11 00:00:00,14946.26000000,19798.68000000,14666.56000000,18860.02000000,67851.48621500,2017-12-17 23:59:59,1143594375.37658067,539238,33646.70546800,566603311.05147657,0
2017-12-18 00:00:00,18860.04000000,19300.00000000,10961.00000000,13500.00000000,135385.44032200,2017-12-24 23:59:59,1998479799.11456170,1007841,67305.69647400,989270027.78444365,0
2017-12-25 00:00:00,13500.00000000,16498.05000000,11750.00000000,13716.36000000,116522.75432100,2017-12-31 23:59:59,1636613418.33164790,1040980,62664.76657500,882011540.53478545,0
2018-01-01 00:00:00,13715.65000000,17176.24000000,12750.00000000,16150.03000000,120239.39935900,2018-01-07 23:59:59,1828148890.85411918,1087900,68117.13905900,1037992795.24942929,0
2018-01-08 00:00:00,16218.85000000,16322.30000000,11400.00000000,13474.99000000,137537.90456500,2018-01-14 23:59:59,1919927016.02062138,1176645,67529.52572500,944460208.02273536,0
2018-01-15 00:00:00,13477.98000000,14249.99000000,9035.00000000,11530.00000000,303127.50213700,2018-01-21 23:59:59,3434833014.70379800,2359135,148847.01839200,1689262267.44518783,0
2018-01-22 00:00:00,11530.00000000,12244.00000000,9900.24000000,11879.95000000,198030.05111700,2018-01-28 23:59:59,2184045152.49622084,1961464,95219.66417600,1049772766.29317178,0
2018-01-29 00:00:00,11879.95000000,11975.02000000,7930.00000000,8184.81000000,202016.40775900,2018-02-04 23:59:59,1896352538.67067303,2082917,92718.81910100,870670207.32739153,0
2018-02-05 00:00:00,8179.99000000,9065.78000000,6000.01000000,8063.88000000,340794.29213100,2018-02-11 23:59:59,2608962030.92850646,3182111,168442.58026900,1292031857.36801427,0
2018-02-12 00:00:00,8063.82000000,11274.00000000,8053.00000000,10383.43000000,311863.06813700,2018-02-18 23:59:59,3026660454.85449099,3359228,152843.46078700,1483899407.00701508,0
2018-02-19 00:00:00,10375.01000000,11786.01000000,9274.80000000,9590.00000000,350623.13291100,2018-02-25 23:59:59,3657589238.53289945,2886657,170833.28442700,1784040709.72463260,0
2018-02-26 00:00:00,9590.00000000,11565.00000000,9350.00000000,11515.00000000,183970.99761400,2018-03-04 23:59:59,1967477246.42707215,1604626,90364.52128500,967157347.68709032,0
2018-03-05 00:00:00,11515.00000000,11710.00000000,8329.00000000,9533.57000000,282035.22538200,2018-03-11 23:59:59,2719942892.64730906,2232004,135387.47704700,1305861453.01058947,0
2018-03-12 00:00:00,9533.57000000,9888.88000000,7322.00000000,8189.99000000,315835.15160600,2018-03-18 23:59:59,2657745291.10901253,2450216,152466.84692700,1282773546.00909870,0
2018-03-19 00:00:00,8189.00000000,9177.01000000,8088.40000000,8470.15000000,285211.53951100,2018-03-25 23:59:59,2464528929.91490584,1993351,140515.57225800,1214424116.23422213,0
2018-03-26 00:00:00,8470.14000000,8514.89000000,6430.00000000,6813.01000000,308729.49203100,2018-04-01 23:59:59,2276980709.59205236,2021451,150619.59256200,1110640017.95736709,0
2018-04-02 00:00:00,6813.01000000,7520.00000000,6500.00000000,7018.00000000,232320.07049900,2018-04-08 23:59:59,1616723766.06607239,1464142,116325.45462500,809573460.57236987,0
2018-04-09 00:00:00,7011.04000000,8429.54000000,6611.00000000,8355.00000000,259877.02241400,2018-04-15 23:59:59,1959208437.53564023,1648802,132620.41641700,999880218.14011922,0
2018-04-16 00:00:00,8355.07000000,9035.00000000,7825.40000000,8787.02000000,233025.38619000,2018-04-22 23:59:59,1952372499.38639334,1643201,119054.12687200,998226476.19908668,0
2018-04-23 00:00:00,8785.70000000,9759.82000000,8651.62000000,9419.00000000,306668.07214000,2018-04-29 23:59:59,2812613536.48155942,2118018,155630.17935000,1428135299.50438760,0
2018-04-30 00:00:00,9417.04000000,10020.00000000,8800.49000000,9659.01000000,222274.38854000,2018-05-06 23:59:59,2089890919.30010291,1677081,113653.80355000,1069078899.18062851,0
2018-05-07 00:00:00,9661.02000000,9689.67000000,8153.00000000,8679.71000000,224151.29875100,2018-05-13 23:59:59,1995981257.43474280,1724758,110160.48336000,981712737.91520858,0
2018-05-14 00:00:00,8679.71000000,8879.99000000,7911.90000000,8526.98000000,182713.82601200,2018-05-20 23:59:59,1528659945.07915334,1744095,92219.28136100,771701096.80685908,0
2018-05-21 00:00:00,8526.97000000,8595.31000000,7231.11000000,7338.99000000,190894.60093900,2018-05-27 23:59:59,1473706966.33428654,1586528,96911.18683200,747911310.86122199,0
2018-05-28 00:00:00,7338.99000000,7786.69000000,7032.95000000,7714.26000000,211929.27076600,2018-06-03 23:59:59,1580400448.72951901,1930065,117482.54749000,876505422.23824593,0
2018-06-04 00:00:00,7714.26000000,7765.00000000,6622.81000000,6764.99000000,211352.73747800,2018-06-10 23:59:59,1574558979.83733276,2117420,114201.83441300,852642290.78887995,0
2018-06-11 00:00:00,6765.00000000,6922.00000000,6118.68000000,6449.61000000,234080.84117100,2018-06-17 23:59:59,1532387822.70808579,1406168,127373.60965300,833996575.31971409,0
2018-06-18 00:00:00,6444.06000000,6841.74000000,5750.00000000,6136.97000000,234147.62101500,2018-06-24 23:59:59,1493387501.45827074,1413795,125738.64224100,802333822.68102873,0
2018-06-25 00:00:00,6137.95000000,6528.99000000,5780.00000000,6356.81000000,207746.55900600,2018-07-01 23:59:59,1282960927.49240566,1214054,112957.36097300,697781325.59832176,0
2018-07-02 00:00:00,6360.82000000,6818.16000000,6271.62000000,6712.10000000,211526.01905800,2018-07-08 23:59:59,1393368254.07600692,1322891,113263.78929400,746176284.21750867,0
2018-07-09 00:00:00,6712.10000000,6802.06000000,6070.00000000,6353.01000000,192452.84988000,2018-07-15 23:59:59,1225870847.47314433,1007888,101995.65757900,649868285.83531907,0
2018-07-16 00:00:00,6354.15000000,7700.00000000,6330.40000000,7394.79000000,294313.22260400,2018-07-22 23:59:59,2128249956.99732357,1602460,159598.81559100,1153467423.23265938,0
2018-07-23 00:00:00,7394.78000000,8491.77000000,7375.00000000,8211.00000000,288666.04714100,2018-07-29 23:59:59,2332298260.58447165,1575619,154924.10088900,1251512994.19756684,0
2018-07-30 00:00:00,8210.99000000,8273.00000000,6882.29000000,7024.19000000,282090.10358400,2018-08-05 23:59:59,2132225331.26565758,1404398,147829.46203600,1117308216.03661430,0
2018-08-06 00:00:00,7024.19000000,7160.00000000,5971.00000000,6308.33000000,334426.55074300,2018-08-12 23:59:59,2169762287.52026111,1694989,178067.43349700,1155504235.78979734,0
2018-08-13 00:00:00,6308.56000000,6620.00000000,5880.00000000,6477.53000000,378189.29648700,2018-08-19 23:59:59,2401304850.57815240,1813570,205461.82925100,1305711344.95193685,0
2018-08-20 00:00:00,6477.53000000,6882.54000000,6220.00000000,6700.00000000,286906.53931100,2018-08-26 23:59:59,1870078552.63444254,1365251,153261.48198700,999056900.50774675,0
2018-08-27 00:00:00,6700.00000000,7345.45000000,6646.50000000,7302.01000000,294674.91300500,2018-09-02 23:59:59,2064905776.21966505,1542804,162766.58532300,1140746641.75371279,0
2018-09-03 00:00:00,7302.00000000,7410.00000000,6111.00000000,6250.81000000,306231.62342400,2018-09-09 23:59:59,2060238359.34515521,1498673,162645.08716700,1094083907.53466874,0
2018-09-10 00:00:00,6252.26000000,6584.99000000,6169.68000000,6505.00000000,227428.18285400,2018-09-16 23:59:59,1455546755.85411984,1205506,124604.74974900,797441407.47960120,0
2018-09-17 00:00:00,6500.08000000,6839.03000000,6123.00000000,6708.00000000,244256.49012100,2018-09-23 23:59:59,1590443498.59327462,1324448,133037.20102500,867030374.85256633,0
2018-09-24 00:00:00,6706.81000000,6814.80000000,6325.02000000,6626.57000000,242598.87247100,2018-09-30 23:59:59,1592066012.40530938,1308413,132133.99444900,867418937.71812110,0
2018-10-01 00:00:00,6626.57000000,6697.00000000,6430.00000000,6615.26000000,141836.47648300,2018-10-07 23:59:59,931813926.77497266,756048,75129.02122900,493650263.56068926,0
2018-10-08 00:00:00,6615.26000000,6715.60000000,6205.00000000,6339.34000000,166310.81354400,2018-10-14 23:59:59,1068868812.27913379,943296,83637.70495700,537339332.30623559,0
2018-10-15 00:00:00,6339.34000000,7680.00000000,6300.00000000,6590.11000000,211592.62313900,2018-10-21 23:59:59,1434684785.85105283,1219900,110449.44593800,748403217.79475398,0
2018-10-22 00:00:00,6590.12000000,6639.00000000,6453.00000000,6489.93000000,75328.88538500,2018-10-28 23:59:59,494030438.14773757,591416,37842.15417300,248174269.69772996,0
2018-10-29 00:00:00,6489.93000000,6525.00000000,6245.02000000,6485.85000000,71945.40060700,2018-11-04 23:59:59,459573574.67943707,751373,35995.80909900,229999405.96208155,0
2018-11-05 00:00:00,6485.85000000,6615.15000000,6355.00000000,6449.81000000,76161.78188000,2018-11-11 23:59:59,494186439.10114736,874399,37227.07098800,241607389.17125802,0
2018-11-12 00:00:00,6450.71000000,6498.00000000,5403.42000000,5662.00000000,205081.18393800,2018-11-18 23:59:59,1193362837.90360881,1444633,104591.34742800,607459146.82318838,0
2018-11-19 00:00:00,5661.94000000,5664.00000000,3652.66000000,4085.78000000,496323.79998000,2018-11-25 23:59:59,2227689691.73637045,2388695,252770.91949700,1133924485.17572715,0
2018-11-26 00:00:00,4088.69000000,4450.38000000,3689.12000000,4161.01000000,479459.91410100,2018-12-02 23:59:59,1958215351.37196717,2077042,244698.73129000,999025189.38484522,0
2018-12-03 00:00:00,4160.55000000,4179.00000000,3222.00000000,3545.37000000,406435.81785400,2018-12-09 23:59:59,1482749121.29389788,1782210,200855.63772000,731690242.31463073,0
2018-12-10 00:00:00,3548.49000000,3610.00000000,3156.26000000,3228.67000000,249791.79078700,2018-12-16 23:59:59,836152010.42528735,1117299,128558.20082500,430325194.84914051,0
2018-12-17 00:00:00,3229.22000000,4139.99000000,3216.00000000,3929.71000000,489096.74115800,2018-12-23 23:59:59,1847572336.33090055,2458532,251707.60083000,950479898.41006177,0
2018-12-24 00:00:00,3929.71000000,4198.00000000,3535.00000000,3801.91000000,332161.25544200,2018-12-30 23:59:59,1265644273.27097719,2002072,170607.63862300,650229120.26977389,0
2018-12-31 00:00:00,3803.12000000,4027.71000000,3630.33000000,3987.60000000,214860.90624200,2019-01-06 23:59:59,814657329.25612980,1399286,111418.73985500,422523453.01183789,0
2019-01-07 00:00:00,3987.62000000,4069.80000000,3441.30000000,3476.81000000,245887.27794800,2019-01-13 23:59:59,927969289.15430455,1671905,124970.35950800,471682333.52194890,0
2019-01-14 00:00:00,3477.56000000,3720.00000000,3467.02000000,3539.28000000,199395.79296500,2019-01-20 23:59:59,716452001.87770063,1441654,103959.69592000,373598006.95210055,0
2019-01-21 00:00:00,3539.26000000,3662.94000000,3434.85000000,3550.84000000,154566.45086100,2019-01-27 23:59:59,549194588.04379181,1163997,81698.38696800,290345796.57221316,0
2019-01-28 00:00:00,3550.05000000,3557.75000000,3349.92000000,3458.11000000,186574.10542300,2019-02-03 23:59:59,642262558.33850544,1288715,97908.23138200,337075608.11357584,0
2019-02-04 00:00:00,3458.11000000,3733.58000000,3373.10000000,3680.06000000,198350.67398800,2019-02-10 23:59:59,696930950.57518930,1313535,105210.16581300,369766481.67223400,0
2019-02-11 00:00:00,3679.75000000,3700.11000000,3568.11000000,3667.58000000,167995.80513900,2019-02-17 23:59:59,608476271.54980941,1174687,86820.01403600,314505971.76257565,0
