datetime,open,high,low,close,volume
2024-12-23 00:00:00,2.148962812498212e-05,2.1493273379746825e-05,2.100718666042667e-05,2.1124520571902394e-05,7915584
2024-12-23 01:30:00,2.1163010387681425e-05,2.1494663087651134e-05,2.108026274072472e-05,2.1377762095653452e-05,40160832
2024-12-23 03:00:00,2.1380194084485993e-05,2.2182723114383407e-05,2.1359473976190202e-05,2.2134614482638426e-05,72054016
2024-12-23 04:30:00,2.2129590433905832e-05,2.2129590433905832e-05,2.1732797904405743e-05,2.175770168832969e-05,3723392
2024-12-23 06:00:00,2.175655754399486e-05,2.177201531594619e-05,2.1268451746436767e-05,2.141336335625965e-05,23771840
2024-12-23 07:30:00,2.1412681235233322e-05,2.1662741346517578e-05,2.1380492398748174e-05,2.1662741346517578e-05,6865024
2024-12-23 09:00:00,2.16801945498446e-05,2.1925730834482238e-05,2.16801945498446e-05,2.1881796783418395e-05,17471552
2024-12-23 10:30:00,2.188074722653255e-05,2.1892625227337703e-05,2.170010338886641e-05,2.173304710595403e-05,3290688
2024-12-23 12:00:00,2.1732954337494448e-05,2.1947294953861274e-05,2.1732954337494448e-05,2.1755986381322145e-05,4911616
2024-12-23 13:30:00,2.175671761506237e-05,2.1764795747003518e-05,2.125666469510179e-05,2.13637304113945e-05,3656128
2024-12-23 15:00:00,2.1364698113757186e-05,2.1400797777459957e-05,2.121743091265671e-05,2.1400797777459957e-05,5502592
2024-12-23 16:30:00,2.1399087927420624e-05,2.193508953496348e-05,2.136515104211867e-05,2.1720779841416515e-05,24372864
2024-12-23 18:00:00,2.1718975403928198e-05,2.1903819288127124e-05,2.1529716832446866e-05,2.1878231564187445e-05,2449920
2024-12-23 19:30:00,2.1878509869566187e-05,2.243920971523039e-05,2.181072522944305e-05,2.243920971523039e-05,16327040
2024-12-23 21:00:00,2.2432979676523246e-05,2.2774876924813725e-05,2.2357282432494685e-05,2.2547616026713513e-05,40887936
2024-12-23 22:30:00,2.2555785108124837e-05,2.2739273845218122e-05,2.2436124709201977e-05,2.246771691716276e-05,17666560
2024-12-24 00:00:00,2.246976873720996e-05,2.246976873720996e-05,2.2317828552331775e-05,2.2361682567861862e-05,3407552
2024-12-24 01:30:00,2.236367254226934e-05,2.236367254226934e-05,2.195494198531378e-05,2.2133748643682338e-05,3041600
2024-12-24 03:00:00,2.2139445718494244e-05,2.234880048490595e-05,2.2139445718494244e-05,2.234880048490595e-05,1927168
2024-12-24 04:30:00,2.2375144908437505e-05,2.25101612159051e-05,2.2343951059156097e-05,2.25101612159051e-05,3710784
2024-12-24 06:00:00,2.251305522804614e-05,2.252672129543498e-05,2.2172847820911556e-05,2.2302931029116735e-05,416960
2024-12-24 07:30:00,2.2303735022433102e-05,2.2332042135531083e-05,2.2215323042473756e-05,2.2285936211119406e-05,2583296
2024-12-24 09:00:00,2.2285457816906273e-05,2.22994767682394e-05,2.2055543013266288e-05,2.2055543013266288e-05,296256
2024-12-24 10:30:00,2.2053483917261474e-05,2.2317337425192818e-05,2.2023541532689705e-05,2.2317337425192818e-05,3688768
2024-12-24 12:00:00,2.232341284980066e-05,2.2591635570279323e-05,2.2221334802452475e-05,2.2591635570279323e-05,6044160
2024-12-24 13:30:00,2.2574256945517845e-05,2.30901478062151e-05,2.2574256945517845e-05,2.308605871803593e-05,58059904
2024-12-24 15:00:00,2.308716648258269e-05,2.3468843210139312e-05,2.3015783881419338e-05,2.3350949049927294e-05,33388416
2024-12-24 16:30:00,2.334961391170509e-05,2.334961391170509e-05,2.309998126293067e-05,2.3253267499967478e-05,5235200
2024-12-24 18:00:00,2.3252434402820654e-05,2.330282768525649e-05,2.3107017113943584e-05,2.3146867533796467e-05,16220288
2024-12-24 19:30:00,2.314620178367477e-05,2.3171869543148205e-05,2.2753578377887607e-05,2.2881347831571475e-05,9786880
2024-12-24 21:00:00,2.2881060431245714e-05,2.3285825591301546e-05,2.286173366883304e-05,2.3210130166262388e-05,0
2024-12-24 22:30:00,2.320939165656455e-05,2.357119410589803e-05,2.3165979655459523e-05,2.3502498152083717e-05,16056192
2024-12-25 00:00:00,2.3485416022595018e-05,2.4014419977902435e-05,2.3430458895745687e-05,2.3674165277043357e-05,47851712
2024-12-25 01:30:00,2.3669668735237792e-05,2.3669668735237792e-05,2.3315282305702567e-05,2.332288568140939e-05,11009152
2024-12-25 03:00:00,2.332077201572247e-05,2.3358546968665905e-05,2.31671474466566e-05,2.3296550352824852e-05,18464960
2024-12-25 04:30:00,2.3294021957553923e-05,2.3294021957553923e-05,2.320009116374422e-05,2.320009116374422e-05,8283776
2024-12-25 06:00:00,2.3197671907837503e-05,2.3267532014870085e-05,2.3078997401171364e-05,2.3106724256649613e-05,7915968
2024-12-25 07:30:00,2.310482523171231e-05,2.314000448677689e-05,2.302131542819552e-05,2.3036223865346983e-05,6205696
2024-12-25 09:00:00,2.303778637724463e-05,2.3547256205347367e-05,2.300509913766291e-05,2.347930785617791e-05,24325376
2024-12-25 10:30:00,2.3467227947548963e-05,2.3467227947548963e-05,2.3027343559078872e-05,2.3027343559078872e-05,18385664
2024-12-25 12:00:00,2.299427978869062e-05,2.3088237867341377e-05,2.2874140995554626e-05,2.304437839484308e-05,18622656
2024-12-25 13:30:00,2.3040634914650582e-05,2.3137647076509893e-05,2.2953288862481713e-05,2.307249633304309e-05,0
2024-12-25 15:00:00,2.3071688701747917e-05,2.3085047359927557e-05,2.2763617380405776e-05,2.277682324347552e-05,0
2024-12-25 16:30:00,2.278687315993011e-05,2.292765748279635e-05,2.2623606128036045e-05,2.292765748279635e-05,5349568
2024-12-25 18:00:00,2.29302495426964e-05,2.30140722123906e-05,2.2856151190353557e-05,2.2955557142267935e-05,16358592
