datetime,open,high,low,close,volume
2025-01-22 00:00:00,9.678232192993164,9.680362701416016,9.678232192993164,9.680362701416016,0
2025-01-22 00:15:00,9.684671401977539,9.684671401977539,9.664041519165039,9.664041519165039,0
2025-01-22 00:30:00,9.656998634338379,9.656998634338379,9.649704933166504,9.649704933166504,6477
2025-01-22 00:45:00,9.650259971618652,9.667524337768555,9.590323448181152,9.590323448181152,40027
2025-01-22 01:00:00,9.590323448181152,9.606711387634277,9.590323448181152,9.606711387634277,4390
2025-01-22 01:15:00,9.588610649108887,9.63180160522461,9.588610649108887,9.63180160522461,506
2025-01-22 01:30:00,9.585772514343262,9.614651679992676,9.585772514343262,9.614651679992676,0
2025-01-22 01:45:00,9.669136047363281,9.692736625671387,9.669136047363281,9.692736625671387,10073
2025-01-22 02:00:00,9.689031600952148,9.691493034362793,9.688749313354492,9.688749313354492,0
2025-01-22 02:15:00,9.6892671585083,9.691682815551758,9.687687873840332,9.691682815551758,0
2025-01-22 02:30:00,9.68547248840332,9.688989639282227,9.679012298583984,9.688989639282227,18
2025-01-22 02:45:00,9.688255310058594,9.688255310058594,9.683398246765137,9.68514347076416,414
2025-01-22 03:00:00,9.684651374816895,9.684651374816895,9.6795654296875,9.6795654296875,7263
2025-01-22 03:15:00,9.681612968444824,9.683220863342285,9.681612968444824,9.681772232055664,474
2025-01-22 03:30:00,9.685123443603516,9.694352149963379,9.685123443603516,9.694352149963379,496
2025-01-22 03:45:00,9.694743156433105,9.697543144226074,9.694743156433105,9.697543144226074,0
2025-01-22 04:00:00,9.686046600341797,9.695035934448242,9.686046600341797,9.689475059509277,0
2025-01-22 04:15:00,9.692487716674805,9.692487716674805,9.690106391906738,9.691855430603027,9604
2025-01-22 04:30:00,9.696640968322754,9.696640968322754,9.687289237976074,9.687289237976074,0
2025-01-22 04:45:00,9.693066596984863,9.693066596984863,9.673710823059082,9.673710823059082,1350
2025-01-22 05:00:00,9.69270133972168,9.69270133972168,9.685861587524414,9.685861587524414,1129
2025-01-22 05:15:00,9.683258056640625,9.691969871520996,9.683258056640625,9.691969871520996,2140
2025-01-22 05:30:00,9.692204475402832,9.704268455505371,9.692204475402832,9.704268455505371,1759
